ItemNumber,InventoryUnitSymbol,UnitCost,PurchId,InvoiceId,PackingSlipId,PurchUnit,PurchPrice,InvoiceDocumentDate,CreatedDateTimeInvoice,NumUnit,UnitPrice
100153,U.,111.47,MSA-009588,F316-00003458,706-0009540,U,111.4678,2021-03-11,2021-03-15T18:41:07Z,1,111.47
100154,U.,28.91,MSA-009587,F316-00003459,706-0009543,Emp.4,115.6542,2021-03-11,2021-03-16T20:01:55Z,4,28.91
100155,U.,5.52,MSA-009001,F316-00001385,706-0003918,Emp.12,74.325,2021-02-23,2021-03-01T19:23:12Z,12,6.19
100156,U.,3.13,MSA-007482,F001-00539707,600-2186426,Emp.24,75.2372,2021-01-23,2021-01-30T18:48:23Z,24,3.13
100157,U.,0.18,,,,,,,,,
100158,U.,0.32,MSA-008629,F721-00000325,721-0000796,Emp.48,15.263,2021-02-05,2021-02-12T19:36:43Z,48,0.32
100159,U.,0.32,MSA-009003,F316-00001523,706-0004298,Emp.90,28.3222,2021-02-24,2021-03-03T21:47:45Z,90,0.31
100160,U.,0.15,MSA-008999,F316-00001922,706-0005359,Emp.100,14.945,2021-02-26,2021-03-02T20:55:10Z,100,0.15
100160,U.,0.15,MSA-008999,F316-00001922,706-0003823,Emp.100,14.945,2021-02-26,2021-03-02T20:55:10Z,100,0.15
100161,U.,0.02,MSA-008999,F316-00001922,706-0005359,Emp.12,11.2116,2021-02-26,2021-03-02T20:55:10Z,12,0.93
100161,U.,0.02,MSA-008999,F316-00001922,706-0003823,Emp.12,11.2116,2021-02-26,2021-03-02T20:55:10Z,12,0.93
100162,U.,0.15,MSA-009003,F316-00001523,706-0004298,Emp.100,14.945,2021-02-24,2021-03-03T21:47:45Z,100,0.15
100163,U.,0.84,MSA-007488,F001-00539704,600-2186417,Emp.12,11.295,2021-01-23,2021-01-27T19:44:14Z,12,0.94
100164,U.,0.19,MSA-009003,F316-00001523,706-0004298,Emp.40,7.6439,2021-02-24,2021-03-03T21:47:45Z,40,0.19
100165,U.,0.64,MSA-007485,F001-00538378,600-2182350,Emp.36,22.9216,2021-01-18,2021-01-23T16:26:06Z,36,0.64
100166,U.,0.64,MSA-008998,F316-00001389,706-0003938,Emp.36,22.922,2021-02-23,2021-02-27T19:45:40Z,36,0.64
100167,U.,0,,,,,,,,,
100168,U.,0.55,,,,,,,,,
100169,U.,1,,,,,,,,,
100170,SA.,68.28,MSA-009111,F348-00001440,658-0003610,SA,76.5747,2021-02-24,2021-02-27T20:35:55Z,1,76.57
100171,SA.,69.26,MSA-009751,F348-00002860,658-0005155,SA,69.2572,2021-03-12,2021-03-17T20:31:36Z,1,69.26
100172,U.,1.08,MSA-006840,F001-00535268,600-2175058,Emp.20,21.6513,2020-12-30,2021-01-05T18:58:22Z,20,1.08
100173,U.,1.1,MSA-009001,F316-00001385,706-0003918,Emp.40,44.0253,2021-02-23,2021-03-01T19:23:12Z,40,1.1
100174,U.,1.1,MSA-008998,F316-00001389,706-0003938,Emp.20,22.003,2021-02-23,2021-02-27T19:45:40Z,20,1.1
100175,U.,1.08,MSA-009001,F316-00001385,706-0003918,Emp.20,22.003,2021-02-23,2021-03-01T19:23:12Z,20,1.1
100176,U.,1.08,MSA-008272,F721-00000315,721-0000766,Emp.20,22.4534,2021-02-05,2021-02-09T18:39:12Z,20,1.12
100177,U.,1.1,MSA-009238,F417-00000230,010-003062,Emp.20,22,2021-02-26,2021-02-27T19:35:03Z,20,1.1
100178,U.,1.08,MSA-009238,F417-00000230,010-003062,Emp.20,22,2021-02-26,2021-02-27T19:35:03Z,20,1.1
100179,U.,1.12,MSA-008629,F721-00000325,721-0000796,Emp.20,22.457,2021-02-05,2021-02-12T19:36:43Z,20,1.12
100180,U.,1.1,MSA-009001,F316-00001385,706-0003918,Emp.20,22.003,2021-02-23,2021-03-01T19:23:12Z,20,1.1
100181,U.,2.25,MSA-008641,F721-00000320,721-0000782,Emp.20,44.939,2021-02-05,2021-02-12T19:13:01Z,20,2.25
100182,U.,1.08,MSA-008629,F721-00000325,721-0000796,Emp.20,22.4533,2021-02-05,2021-02-12T19:36:43Z,20,1.12
100183,U.,2.2,MSA-009238,F417-00000230,010-003062,Emp.20,44.0169,2021-02-26,2021-02-27T19:35:03Z,20,2.2
100184,U.,1.1,MSA-008672,F003-00009805,0400-0001064,Emp.20,22.4576,2021-02-18,2021-02-19T21:08:14Z,20,1.12
100185,U.,1.15,MSA-008999,F316-00001370,706-0003823,Emp.20,22.004,2021-02-23,2021-02-26T20:04:51Z,20,1.1
100186,U.,1.45,MSA-008654,F721-00000322,721-0000788,Emp.12,17.341,2021-02-05,2021-02-12T19:28:47Z,12,1.45
100187,U.,2.8,MSA-008998,F316-00001389,706-0003938,Emp.12,32.264,2021-02-23,2021-02-27T19:45:40Z,12,2.69
100188,U.,2.09,MSA-002121,F003-01431958,029-001532,U,2.6242,2020-11-30,2020-12-05T15:40:04Z,1,2.62
100189,U.,3.82,MSA-002121,F003-01431957,029-001532,U,5.0082,2020-11-30,2020-12-05T15:35:05Z,1,5.01
100190,U.,0.97,MSA-009001,F316-00001385,706-0003918,Emp.20,19.187,2021-02-23,2021-03-01T19:23:12Z,20,0.96
100191,U.,2.2,MSA-008999,F316-00001922,706-0005359,Emp.20,44.0257,2021-02-26,2021-03-02T20:55:10Z,20,2.2
100191,U.,2.2,MSA-008999,F316-00001922,706-0003823,Emp.20,44.0257,2021-02-26,2021-03-02T20:55:10Z,20,2.2
100192,U.,1.1,MSA-009001,F316-00001385,706-0003918,Emp.20,22.457,2021-02-23,2021-03-01T19:23:12Z,20,1.12
100193,U.,5.04,MSA-009001,F316-00001386,706-0003918,Emp.12,47.388,2021-02-23,2021-03-01T19:25:39Z,12,3.95
100194,U.,45.24,MSA-008704,F348-00001570,658-0003745,U,46.1144,2021-02-25,2021-03-03T19:45:02Z,1,46.11
100195,U.,0,,,,,,,,,
100196,U.,0.58,MSA-009001,F316-00001386,706-0003918,Emp.18,11.182,2021-02-23,2021-03-01T19:25:39Z,18,0.62
100197,U.,24.71,MSA-009587,F316-00003459,706-0009543,Emp.4,98.6644,2021-03-11,2021-03-16T20:01:55Z,4,24.67
100198,SA.,81.08,MSA-009751,F348-00002860,658-0005155,SA,81.0768,2021-03-12,2021-03-17T20:31:36Z,1,81.08
100199,SA.,81.08,MSA-009751,F348-00002860,658-0005155,SA,81.0768,2021-03-12,2021-03-17T20:31:36Z,1,81.08
100200,U.,0,,,,,,,,,
100201,U.,0,,,,,,,,,
100202,"",0,,,,,,,,,
100203,U.,0.72,MSA-005528,F001-00526724,600-2157355,Emp.20,14.4209,2020-11-20,2020-11-25T21:31:30Z,20,0.72
100204,U.,0.75,MSA-008629,F721-00000325,721-0000796,Emp.40,29.965,2021-02-05,2021-02-12T19:36:43Z,40,0.75
100205,U.,0.74,MSA-008243,F721-00000324,721-0000793,Emp.20,14.9825,2021-02-05,2021-02-12T19:22:42Z,20,0.75
100206,U.,0.74,MSA-008629,F721-00000325,721-0000796,Emp.20,14.982,2021-02-05,2021-02-12T19:36:43Z,20,0.75
100207,U.,0.76,MSA-008243,F721-00000324,721-0000793,Emp.20,14.982,2021-02-05,2021-02-12T19:22:42Z,20,0.75
100208,U.,0.75,MSA-008998,F316-00001389,706-0003938,Emp.20,14.982,2021-02-23,2021-02-27T19:45:40Z,20,0.75
100209,U.,0.68,MSA-007486,F001-00539291,600-2184407,Emp.20,14.9816,2021-01-22,2021-01-29T19:03:07Z,20,0.75
100210,U.,0.75,MSA-009001,F316-00001385,706-0003918,Emp.20,14.975,2021-02-23,2021-03-01T19:23:12Z,20,0.75
100211,U.,0.68,,,,,,,,,
100212,U.,0.76,MSA-008629,F721-00000325,721-0000797,Emp.20,14.985,2021-02-05,2021-02-12T19:36:43Z,20,0.75
100213,U.,0.76,MSA-008629,F721-00000325,721-0000797,Emp.20,14.984,2021-02-05,2021-02-12T19:36:43Z,20,0.75
100214,U.,0,,,,,,,,,
100215,U.,0.81,MSA-009001,F316-00001385,706-0003918,Emp.20,16.905,2021-02-23,2021-03-01T19:23:12Z,20,0.85
100216,U.,1.5,MSA-009003,F316-00001523,706-0004298,Emp.20,29.95,2021-02-24,2021-03-03T21:47:45Z,20,1.5
100217,U.,2.55,MSA-006236,F001-00532661,600-2169955,Emp.12,29.7796,2020-12-18,2020-12-23T17:22:25Z,12,2.48
100218,U.,1.5,MSA-008272,F721-00000315,721-0000768,Emp.20,29.966,2021-02-05,2021-02-09T18:39:12Z,20,1.5
100219,U.,1.22,MSA-009741,F316-00003890,706-0010784,Emp.24,29.2627,2021-03-15,2021-03-22T17:40:58Z,24,1.22
100220,U.,2.98,MSA-009741,F316-00003890,706-0010784,Emp.12,35.7793,2021-03-15,2021-03-22T17:40:58Z,12,2.98
100221,U.,0,,,,,,,,,
100222,U.,63.74,MSA-007757,F001-00539496,600-2185977,U,63.741,2021-01-22,2021-01-28T19:58:30Z,1,63.74
100223,U.,0.94,MSA-009741,F316-00003890,706-0010783,Emp.60,56.3898,2021-03-15,2021-03-22T17:40:58Z,60,0.94
